,location,total_sqft,bath,price,bhk
0,Alandi Road,1056.0,2.0,39.07,2
1,Alandi Road,2894.0,4.0,245.0,4
2,Alandi Road,1084.0,2.0,50.0,2
3,Alandi Road,1230.0,2.0,80.0,2
4,Alandi Road,1750.0,3.0,130.0,3
5,Alandi Road,995.0,2.0,41.0,2
8,Alandi Road,1360.0,2.0,95.0,2
9,Alandi Road,1040.0,2.0,50.0,2
10,Alandi Road,1655.0,3.0,86.06,3
12,Alandi Road,2790.0,5.0,198.0,4
13,Alandi Road,1028.0,2.0,42.0,2
14,Alandi Road,1300.0,2.0,57.0,2
15,Alandi Road,1564.0,3.0,101.0,3
16,Alandi Road,1012.0,2.0,59.0,2
17,Alandi Road,2519.0,5.0,185.0,4
18,Alandi Road,1520.0,2.0,62.0,2
19,Alandi Road,1550.0,3.0,78.0,3
20,Alandi Road,950.0,2.0,46.5,2
21,Alandi Road,1280.0,2.0,56.0,2
22,Alandi Road,1350.0,2.0,79.0,2
23,Alandi Road,1500.0,2.0,85.0,3
24,Alandi Road,3250.0,4.0,230.0,4
25,Alandi Road,1150.0,2.0,77.5,3
26,Alandi Road,1080.0,2.0,75.0,3
27,Alandi Road,1743.0,3.0,93.25,3
28,Alandi Road,984.0,2.0,45.91,2
29,Alandi Road,4500.0,9.0,166.0,9
30,Alandi Road,1225.0,2.0,55.0,2
31,Alandi Road,1100.0,2.0,50.0,2
32,Alandi Road,1210.0,2.0,75.0,2
33,Alandi Road,1250.0,2.0,72.0,2
34,Alandi Road,900.0,2.0,42.0,2
35,Alandi Road,1075.0,2.0,52.43,2
36,Alandi Road,1265.0,2.0,82.0,2
37,Alandi Road,900.0,2.0,41.0,2
39,Alandi Road,1100.0,2.0,48.0,2
40,Alandi Road,1850.0,3.0,90.0,3
42,Alandi Road,1475.0,2.0,74.0,3
43,Alandi Road,1265.0,2.0,65.0,3
44,Alandi Road,1300.0,2.0,98.0,2
45,Alandi Road,937.0,2.0,35.0,2
46,Alandi Road,1000.0,2.0,58.0,2
47,Alandi Road,700.0,2.0,43.0,2
48,Alandi Road,1265.0,2.0,46.6,2
49,Alandi Road,1008.0,2.0,32.25,2
50,Alandi Road,2072.0,4.0,155.0,3
52,Alandi Road,7000.0,4.0,550.0,4
53,Alandi Road,1102.0,2.0,52.0,2
54,Alandi Road,1020.0,2.0,46.5,2
55,Alandi Road,1855.0,3.0,145.0,3
56,Alandi Road,1181.0,2.0,75.0,2
58,Alandi Road,1130.0,2.0,45.2,2
59,Alandi Road,1065.0,2.0,55.0,2
60,Alandi Road,1540.0,3.0,85.0,3
61,Alandi Road,1246.0,2.0,67.4,2
62,Alandi Road,500.0,1.0,30.0,1
63,Alandi Road,1080.0,2.0,45.0,2
64,Alandi Road,1756.0,3.0,128.0,3
65,Alandi Road,914.0,2.0,32.0,2
66,Alandi Road,1150.0,2.0,36.8,2
67,Alandi Road,2144.6,4.0,145.0,3
69,Alandi Road,1856.0,3.0,135.0,3
70,Alandi Road,1800.0,4.0,125.0,3
71,Alandi Road,1338.0,2.0,103.0,2
73,Alandi Road,2480.0,2.0,160.0,2
74,Alandi Road,3596.0,5.0,279.0,4
76,Alandi Road,2400.0,5.0,200.0,5
77,Alandi Road,1565.0,2.0,69.0,2
78,Alandi Road,1185.0,2.0,51.15,2
79,Alandi Road,1091.0,2.0,33.82,2
80,Alandi Road,1200.0,4.0,125.0,4
81,Alandi Road,1135.0,2.0,68.0,2
82,Alandi Road,2658.0,5.0,189.0,4
83,Alandi Road,3000.0,4.0,301.0,4
84,Alandi Road,1830.0,4.0,150.0,3
85,Alandi Road,1685.0,3.0,115.0,3
86,Alandi Road,890.0,2.0,40.0,2
87,Alandi Road,1260.0,2.0,75.0,3
88,Alandi Road,674.0,1.0,19.9,2
89,Alandi Road,1049.0,2.0,51.0,2
90,Alandi Road,945.0,2.0,35.0,2
91,Alandi Road,1540.0,3.0,90.0,3
93,Alandi Road,1194.0,2.0,51.0,2
94,Alandi Road,1189.0,2.0,45.0,2
95,Alandi Road,1339.0,2.0,53.56,2
96,Alandi Road,1350.0,2.0,68.0,2
98,Alandi Road,1244.0,2.0,88.0,2
99,Alandi Road,1719.0,3.0,135.0,3
100,Alandi Road,416.0,1.0,17.19,1
101,Alandi Road,1041.0,2.0,54.0,2
102,Alandi Road,705.0,1.0,65.0,1
105,Alandi Road,1027.0,2.0,44.0,2
106,Alandi Road,1801.0,3.0,115.0,3
107,Alandi Road,1205.0,2.0,37.0,2
108,Alandi Road,1105.0,2.0,39.5,2
109,Alandi Road,3504.0,4.0,262.0,4
110,Alandi Road,1089.0,2.0,40.0,2
111,Alandi Road,925.0,2.0,49.82,3
112,Alandi Road,1255.0,3.0,90.0,3
113,Alandi Road,1200.0,2.0,45.0,2
115,Alandi Road,1200.0,2.0,75.0,2
118,Ambegaon Budruk,950.0,2.0,40.0,2
119,Ambegaon Budruk,1200.0,2.0,65.0,2
120,Ambegaon Budruk,1180.0,2.0,78.34,3
121,Ambegaon Budruk,1215.0,2.0,67.0,2
